public_intersection,year,all_eligible_crashes,cyclist_involved_crashes,pedestrian_involved_crashes
BLAKE ST & MASSACHUSETTS AVE,2023,0,0,0
BLAKE ST & MASSACHUSETTS AVE,2024,0,0,0
BLAKE ST & MASSACHUSETTS AVE,2025,2,0,2
MOUNT AUBURN ST & PUTNAM AVE,2023,0,0,0
MOUNT AUBURN ST & PUTNAM AVE,2024,2,2,0
MOUNT AUBURN ST & PUTNAM AVE,2025,0,0,0
Unresolved location,2023,90,58,33
Unresolved location,2024,83,54,30
Unresolved location,2025,99,60,39
ABERDEEN AVE & HURON AVE,2023,0,0,0
ABERDEEN AVE & HURON AVE,2024,1,1,0
ABERDEEN AVE & HURON AVE,2025,0,0,0
ABERDEEN AVE & MOUNT AUBURN ST,2023,1,1,0
ABERDEEN AVE & MOUNT AUBURN ST,2024,0,0,0
ABERDEEN AVE & MOUNT AUBURN ST,2025,0,0,0
AGASSIZ ST & LINNAEAN ST,2023,0,0,0
AGASSIZ ST & LINNAEAN ST,2024,1,0,1
AGASSIZ ST & LINNAEAN ST,2025,0,0,0
ALBERTA TERRACE & MASSACHUSETTS AVE,2023,0,0,0
ALBERTA TERRACE & MASSACHUSETTS AVE,2024,1,0,1
ALBERTA TERRACE & MASSACHUSETTS AVE,2025,0,0,0
ALEWIFE BROOK PKWY & MASSACHUSETTS AVE,2023,1,1,0
ALEWIFE BROOK PKWY & MASSACHUSETTS AVE,2024,0,0,0
ALEWIFE BROOK PKWY & MASSACHUSETTS AVE,2025,0,0,0
ALLSTON ST & PLEASANT ST,2023,1,1,0
ALLSTON ST & PLEASANT ST,2024,0,0,0
ALLSTON ST & PLEASANT ST,2025,0,0,0
AMHERST & MASSACHUSETTS AVE,2023,0,0,0
AMHERST & MASSACHUSETTS AVE,2024,0,0,0
AMHERST & MASSACHUSETTS AVE,2025,1,1,0
AMORY ST & HAMPSHIRE ST,2023,1,1,0
AMORY ST & HAMPSHIRE ST,2024,0,0,0
AMORY ST & HAMPSHIRE ST,2025,0,0,0
ANTRIM ST & CAMBRIDGE ST,2023,0,0,0
ANTRIM ST & CAMBRIDGE ST,2024,1,1,0
ANTRIM ST & CAMBRIDGE ST,2025,0,0,0
APPIAN WAY & BRATTLE ST,2023,0,0,0
APPIAN WAY & BRATTLE ST,2024,1,1,0
APPIAN WAY & BRATTLE ST,2025,0,0,0
APPIAN WAY & GARDEN,2023,0,0,0
APPIAN WAY & GARDEN,2024,0,0,0
APPIAN WAY & GARDEN,2025,1,0,1
APPLETON ST & BRALLTE ST,2023,1,1,0
APPLETON ST & BRALLTE ST,2024,0,0,0
APPLETON ST & BRALLTE ST,2025,0,0,0
AUDREY ST & VASSAR ST,2023,0,0,0
AUDREY ST & VASSAR ST,2024,1,0,1
AUDREY ST & VASSAR ST,2025,0,0,0
AVON ST & SHEPARD ST,2023,0,0,0
AVON ST & SHEPARD ST,2024,1,0,1
AVON ST & SHEPARD ST,2025,0,0,0
BANKS ST & SURREY ST,2023,0,0,0
BANKS ST & SURREY ST,2024,1,1,0
BANKS ST & SURREY ST,2025,0,0,0
BEECH ST & ELM ST,2023,0,0,0
BEECH ST & ELM ST,2024,0,0,0
BEECH ST & ELM ST,2025,1,0,1
BELMONT ST & HOLWORTHY,2023,0,0,0
BELMONT ST & HOLWORTHY,2024,0,0,0
BELMONT ST & HOLWORTHY,2025,1,1,0
BELMONT ST & SAINT MARYS ST,2023,1,0,1
BELMONT ST & SAINT MARYS ST,2024,0,0,0
BELMONT ST & SAINT MARYS ST,2025,0,0,0
BENNETT ST & UNIVERSITY RD,2023,1,1,0
BENNETT ST & UNIVERSITY RD,2024,0,0,0
BENNETT ST & UNIVERSITY RD,2025,0,0,0
BERKSHIRE ST & CAMBRIDGE ST,2023,1,1,0
BERKSHIRE ST & CAMBRIDGE ST,2024,0,0,0
BERKSHIRE ST & CAMBRIDGE ST,2025,0,0,0
BIGELOW ST & MASSACHUSETTS AVE,2023,1,0,1
BIGELOW ST & MASSACHUSETTS AVE,2024,0,0,0
BIGELOW ST & MASSACHUSETTS AVE,2025,0,0,0
BINNEY ST & SECOND ST,2023,0,0,0
BINNEY ST & SECOND ST,2024,0,0,0
BINNEY ST & SECOND ST,2025,1,1,0
BISHOP ALLEN & COLUMBIA ST,2023,0,0,0
BISHOP ALLEN & COLUMBIA ST,2024,1,0,1
BISHOP ALLEN & COLUMBIA ST,2025,0,0,0
BISHOP ALLEN DR & PROSPECT ST,2023,0,0,0
BISHOP ALLEN DR & PROSPECT ST,2024,0,0,0
BISHOP ALLEN DR & PROSPECT ST,2025,1,0,1
BISHOP ALLEN DR & TEMPLE ST,2023,1,0,1
BISHOP ALLEN DR & TEMPLE ST,2024,0,0,0
BISHOP ALLEN DR & TEMPLE ST,2025,0,0,0
BISHOP ALLEN SR & INMAN ST,2023,0,0,0
BISHOP ALLEN SR & INMAN ST,2024,1,0,1
BISHOP ALLEN SR & INMAN ST,2025,0,0,0
